threshold,face_index,distance,is_same_person,will_mosaic
0.45,0,0.876625501950044,False,True
0.45,1,0.7161385147347483,False,True
0.45,2,0.657494498190724,False,True
0.45,3,0.394381158969897,True,False
0.45,4,0.6418019057451232,False,True
0.47000000000000003,0,0.876625501950044,False,True
0.47000000000000003,1,0.7161385147347483,False,True
0.47000000000000003,2,0.657494498190724,False,True
0.47000000000000003,3,0.394381158969897,True,False
0.47000000000000003,4,0.6418019057451232,False,True
0.49000000000000005,0,0.876625501950044,False,True
0.49000000000000005,1,0.7161385147347483,False,True
0.49000000000000005,2,0.657494498190724,False,True
0.49000000000000005,3,0.394381158969897,True,False
0.49000000000000005,4,0.6418019057451232,False,True
0.51,0,0.876625501950044,False,True
0.51,1,0.7161385147347483,False,True
0.51,2,0.657494498190724,False,True
0.51,3,0.394381158969897,True,False
0.51,4,0.6418019057451232,False,True
0.53,0,0.876625501950044,False,True
0.53,1,0.7161385147347483,False,True
0.53,2,0.657494498190724,False,True
0.53,3,0.394381158969897,True,False
0.53,4,0.6418019057451232,False,True
0.55,0,0.876625501950044,False,True
0.55,1,0.7161385147347483,False,True
0.55,2,0.657494498190724,False,True
0.55,3,0.394381158969897,True,False
0.55,4,0.6418019057451232,False,True
0.5700000000000001,0,0.876625501950044,False,True
0.5700000000000001,1,0.7161385147347483,False,True
0.5700000000000001,2,0.657494498190724,False,True
0.5700000000000001,3,0.394381158969897,True,False
0.5700000000000001,4,0.6418019057451232,False,True
