threshold,face_index,distance,is_same_person,will_mosaic
0.45,0,0.8324521200722378,False,True
0.45,1,0.872959667102903,False,True
0.45,2,0.9557953183303067,False,True
0.45,3,0.660668257291938,False,True
0.45,4,0.3685406509602843,True,False
0.47000000000000003,0,0.8324521200722378,False,True
0.47000000000000003,1,0.872959667102903,False,True
0.47000000000000003,2,0.9557953183303067,False,True
0.47000000000000003,3,0.660668257291938,False,True
0.47000000000000003,4,0.3685406509602843,True,False
0.49000000000000005,0,0.8324521200722378,False,True
0.49000000000000005,1,0.872959667102903,False,True
0.49000000000000005,2,0.9557953183303067,False,True
0.49000000000000005,3,0.660668257291938,False,True
0.49000000000000005,4,0.3685406509602843,True,False
0.51,0,0.8324521200722378,False,True
0.51,1,0.872959667102903,False,True
0.51,2,0.9557953183303067,False,True
0.51,3,0.660668257291938,False,True
0.51,4,0.3685406509602843,True,False
0.53,0,0.8324521200722378,False,True
0.53,1,0.872959667102903,False,True
0.53,2,0.9557953183303067,False,True
0.53,3,0.660668257291938,False,True
0.53,4,0.3685406509602843,True,False
0.55,0,0.8324521200722378,False,True
0.55,1,0.872959667102903,False,True
0.55,2,0.9557953183303067,False,True
0.55,3,0.660668257291938,False,True
0.55,4,0.3685406509602843,True,False
0.5700000000000001,0,0.8324521200722378,False,True
0.5700000000000001,1,0.872959667102903,False,True
0.5700000000000001,2,0.9557953183303067,False,True
0.5700000000000001,3,0.660668257291938,False,True
0.5700000000000001,4,0.3685406509602843,True,False
